Date : 2022-12-26 10:47:16
Directory : /Users/Security/TA/C++Tutorial/RayTracing/TWRay
Total : 165 files,  62266 codes, 5048 comments, 4421 blanks, all 71735 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C++         |        141 |     57,530 |      4,807 |      3,839 |     66,176 |
| JSON        |          9 |      2,620 |          0 |          7 |      2,627 |
| Makefile    |          1 |      1,228 |        241 |        428 |      1,897 |
| CMake       |          8 |        362 |          0 |         51 |        413 |
| CMake Cache |          1 |        265 |          0 |         60 |        325 |
| Log         |          2 |        256 |          0 |         34 |        290 |
| TypeScript  |          2 |          4 |          0 |          2 |          6 |
| Markdown    |          1 |          1 |          0 |          0 |          1 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        165 |     62,266 |      5,048 |      4,421 |     71,735 |
| build                                                                                                                       |         24 |      5,290 |        298 |        705 |      6,293 |
| build/.cmake                                                                                                                |          8 |      2,298 |          0 |          7 |      2,305 |
| build/.cmake/api                                                                                                            |          8 |      2,298 |          0 |          7 |      2,305 |
| build/.cmake/api/v1                                                                                                         |          8 |      2,298 |          0 |          7 |      2,305 |
| build/.cmake/api/v1/query                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/query/client-vscode                                                                                     |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/reply                                                                                                   |          7 |      2,297 |          0 |          7 |      2,304 |
| build/CMakeFiles                                                                                                            |         12 |      1,135 |         57 |        202 |      1,394 |
| build/CMakeFiles/3.20.0-rc2                                                                                                 |          3 |        637 |         57 |        149 |        843 |
| build/CMakeFiles/3.20.0-rc2/CompilerIdCXX                                                                                   |          1 |        555 |         57 |        123 |        735 |
| build/CMakeFiles/RayTracing.dir                                                                                             |          3 |         27 |          0 |          9 |         36 |
| build/CMakeFiles/pbrt.dir                                                                                                   |          4 |        215 |          0 |         10 |        225 |
| src                                                                                                                         |        140 |     56,975 |      4,750 |      3,716 |     65,441 |
| src/cameras                                                                                                                 |          2 |        210 |         37 |         36 |        283 |
| src/core                                                                                                                    |         88 |     45,531 |      1,509 |      1,843 |     48,883 |
| src/ext                                                                                                                     |          6 |      7,313 |      2,628 |      1,203 |     11,144 |
| src/filters                                                                                                                 |          2 |         22 |          3 |         11 |         36 |
| src/integrators                                                                                                             |          8 |      1,304 |        147 |        134 |      1,585 |
| src/lights                                                                                                                  |          8 |        408 |         38 |         75 |        521 |
| src/materials                                                                                                               |          8 |        720 |        154 |        132 |      1,006 |
| src/media                                                                                                                   |          2 |         54 |          9 |         14 |         77 |
| src/samplers                                                                                                                |          4 |        107 |         10 |         31 |        148 |
| src/shapes                                                                                                                  |         10 |      1,274 |        211 |        225 |      1,710 |
| src/textures                                                                                                                |          2 |         32 |          4 |         12 |         48 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                    | language    | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/README.md                                                                   | Markdown    |          1 |          0 |          0 |          1 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/.cmake/api/v1/query/client-vscode/query.json                          | JSON        |          1 |          0 |          0 |          1 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/.cmake/api/v1/reply/cache-v2-aa91aa3b2adeddcc9d74.json                | JSON        |      1,039 |          0 |          1 |      1,040 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/.cmake/api/v1/reply/cmakeFiles-v1-2dd16bfe725f222204d1.json           | JSON        |        158 |          0 |          1 |        159 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/.cmake/api/v1/reply/codemodel-v2-b19551aa9a92ccdb3a85.json            | JSON        |         68 |          0 |          1 |         69 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/.cmake/api/v1/reply/index-2022-12-26T02-27-30-0799.json               | JSON        |        132 |          0 |          1 |        133 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/.cmake/api/v1/reply/target-RayTracing-Debug-5d3a3e297dfe9e148fe0.json | JSON        |        223 |          0 |          1 |        224 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/.cmake/api/v1/reply/target-pbrt-Debug-92b0578ba824587bbe48.json       | JSON        |        622 |          0 |          1 |        623 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/.cmake/api/v1/reply/toolchains-v1-b5caa604d23050957e97.json           | JSON        |         55 |          0 |          1 |         56 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeCache.txt                                                        | CMake Cache |        265 |          0 |         60 |        325 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/3.20.0-rc2/CMakeCXXCompiler.cmake                          | CMake       |         72 |          0 |         20 |         92 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/3.20.0-rc2/CMakeSystem.cmake                               | CMake       |         10 |          0 |          6 |         16 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/3.20.0-rc2/CompilerIdCXX/CMakeCXXCompilerId.cpp            | C++         |        555 |         57 |        123 |        735 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/CMakeError.log                                             | Log         |         16 |          0 |          7 |         23 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/CMakeOutput.log                                            | Log         |        240 |          0 |         27 |        267 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/RayTracing.dir/DependInfo.cmake                            | CMake       |         15 |          0 |          6 |         21 |
| /Users/Security/TA/C++Tutorial/RayTracing/TWRay/build/CMakeFiles/RayTracing.dir/cmake_clean.cmake                           | CMake       |         10 |          0 |          2 |         12 |
